process_method,method,run_id,flow_over_population,prevalence_peak,peak_day,remaining_flow_pct,epp,unrestricted_flow,unrestricted_peak,isolation_peak,epp_max
31,linear,300,0.19946542714017831,108152.0,221,100.0,21849.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,301,0.1894921557831726,107897.0,221,95.0000000000016,21594.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,302,0.17951888442616096,107232.0,216,90.00000000000024,20929.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,303,0.1695456130691524,108175.0,218,85.00000000000041,21872.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,304,0.15957234171214366,106017.0,220,80.0000000000005,19714.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,305,0.14959907035513295,106009.0,221,74.99999999999962,19706.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,306,0.13962579899812583,105875.0,218,70.00000000000051,19572.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,307,0.12965252764111618,106110.0,218,65.00000000000014,19807.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,308,0.11967925628411082,105511.0,219,60.00000000000192,19208.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,309,0.10970598492709989,104734.0,216,55.00000000000092,18431.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,310,0.09973271357008863,104296.0,215,49.99999999999973,17993.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,311,0.0897594422130796,102926.0,216,44.99999999999968,16623.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,312,0.07978617085607224,103107.0,213,40.00000000000046,16804.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,313,0.06981289949906258,102679.0,213,35.000000000000085,16376.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,314,0.059839628142053895,102296.0,212,30.0000000000002,15993.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,315,0.04986635678504231,100184.0,214,24.999999999998863,13881.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,316,0.039893085428037954,99248.0,211,20.000000000001148,12945.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,317,0.02991981407102528,97976.0,211,14.999999999999265,11673.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,318,0.019946542714017492,94067.0,212,9.99999999999983,7764.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,319,0.00997327135700794,92312.0,214,4.999999999999511,6009.0,0.19946542714017831,108152.0,86303.0,21849.0
31,linear,320,0.0,86303.0,211,0.0,0.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,300,0.1298605229751935,98060.0,204,65.10427638366193,11757.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,301,0.12336749682643669,98379.0,211,61.84906256448027,12076.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,302,0.11687447067767465,98844.0,211,58.593848745295986,12541.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,303,0.1103814445289161,99978.0,209,55.33863492611345,13675.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,304,0.10388841838015678,97504.0,212,52.08342110693054,11201.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,305,0.09739539223139534,97829.0,206,48.82820728774656,11526.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,306,0.09090236608263469,98084.0,206,45.57299346856297,11781.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,307,0.08440933993387717,98725.0,212,42.31777964938095,12422.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,308,0.07791631378511467,97421.0,210,39.06256583019644,11118.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,309,0.07142328763635652,97607.0,207,35.80735201101411,11304.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,310,0.06493026148759823,96972.0,205,32.5521381918317,10669.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,311,0.0584372353388384,97734.0,208,29.29692437264853,11431.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,312,0.051944209190078576,96022.0,212,26.041710553465357,9719.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,313,0.04545118304131963,97642.0,209,22.78649673428263,11339.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,314,0.038958156892556856,96370.0,213,19.531282915097982,10067.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,315,0.0324651307437979,95125.0,212,16.276069095915243,8822.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,316,0.025972104595038594,94600.0,209,13.020855276732332,8297.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,317,0.0194790784462793,93661.0,209,9.765641457549426,7358.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,318,0.012986052297519476,91876.0,212,6.510427638366256,5573.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,319,0.006493026148759289,89985.0,212,3.2552138191829028,3682.0,0.19946542714017831,108152.0,86303.0,21849.0
40,linear,320,0.0,86303.0,211,0.0,0.0,0.19946542714017831,108152.0,86303.0,21849.0
58,linear,300,0.19946542714017831,108152.0,221,100.0,21849.0,0.19946542714017831,108152.0,86303.0,21849.0
58,linear,301,0.1959851819319293,107432.0,216,98.25521381918321,21129.0,0.19946542714017831,108152.0,86303.0,21849.0
58,linear,302,0.19250493672368005,107327.0,223,96.51042763836631,21024.0,0.19946542714017831,108152.0,86303.0,21849.0
58,linear,303,0.18902469151543067,107647.0,221,94.76564145754932,21344.0,0.19946542714017831,108152.0,86303.0,21849.0
58,linear,304,0.18554444630718275,106067.0,219,93.02085527673309,19764.0,0.19946542714017831,108152.0,86303.0,21849.0
58,linear,305,0.1820642010989321,106495.0,218,91.27606909591547,20192.0,0.19946542714017831,108152.0,86303.0,21849.0
58,linear,306,0.178583955890685,106346.0,218,89.53128291509964,20043.0,0.19946542714017831,108152.0,86303.0,21849.0
58,linear,307,0.17510371068243416,106612.0,214,87.78649673428194,20309.0,0.19946542714017831,108152.0,86303.0,21849.0
58,linear,308,0.1716234654741845,105666.0,216,86.04171055346482,19363.0,0.19946542714017831,108152.0,86303.0,21849.0
58,linear,309,0.16814322026593684,105609.0,216,84.29692437264872,19306.0,0.19946542714017831,108152.0,86303.0,21849.0
58,linear,310,0.16466297505768746,104443.0,213,82.55213819183173,18140.0,0.19946542714017831,108152.0,86303.0,21849.0
58,linear,311,0.16118272984943965,104226.0,214,80.80735201101555,17923.0,0.19946542714017831,108152.0,86303.0,21849.0
58,linear,312,0.1577024846411888,104550.0,214,79.06256583019785,18247.0,0.19946542714017831,108152.0,86303.0,21849.0
