process_method,method,run_id,flow_over_population,prevalence_peak,peak_day,remaining_flow_pct,epp,unrestricted_flow,unrestricted_peak,isolation_peak,epp_max
31,linear,300,0.19946542714017831,108152.0,221,100.0,21658.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,301,0.1894921557831726,107897.0,221,95.0000000000016,21403.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,302,0.17951888442616096,107232.0,216,90.00000000000024,20738.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,303,0.1695456130691524,108175.0,218,85.00000000000041,21681.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,304,0.15957234171214366,106017.0,220,80.0000000000005,19523.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,305,0.14959907035513295,106009.0,221,74.99999999999962,19515.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,306,0.13962579899812583,105875.0,218,70.00000000000051,19381.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,307,0.12965252764111618,106110.0,218,65.00000000000014,19616.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,308,0.11967925628411082,105511.0,219,60.00000000000192,19017.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,309,0.10970598492709989,104734.0,216,55.00000000000092,18240.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,310,0.09973271357008863,104296.0,215,49.99999999999973,17802.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,311,0.0897594422130796,102926.0,216,44.99999999999968,16432.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,312,0.07978617085607224,103107.0,213,40.00000000000046,16613.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,313,0.06981289949906258,102679.0,213,35.000000000000085,16185.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,314,0.059839628142053895,102296.0,212,30.0000000000002,15802.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,315,0.04986635678504231,100184.0,214,24.999999999998863,13690.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,316,0.039893085428037954,99248.0,211,20.000000000001148,12754.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,317,0.02991981407102528,97976.0,211,14.999999999999265,11482.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,318,0.019946542714017492,94067.0,212,9.99999999999983,7573.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,319,0.00997327135700794,92312.0,214,4.999999999999511,5818.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,320,0.0,86493.68,211,0.0,0.0,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,300,0.19946542714017831,108152.0,221,100.0,21658.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,301,0.1894858382626726,105862.0,222,94.99683277418679,19368.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,302,0.17949971845137555,104190.0,223,89.99039132993636,17696.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,303,0.16952034042604067,103945.0,231,84.9873298127534,17451.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,304,0.15955928449117246,99619.0,226,79.9934538926583,13125.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,305,0.14958047211725276,97995.0,224,74.99067595916364,11501.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,306,0.139604783722785,97203.0,232,69.98946420157061,10709.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,307,0.12958770333275724,95868.0,229,64.96750098035129,9374.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,308,0.11966757624310044,94042.0,230,59.9941443280803,7548.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,309,0.10968434061533157,92573.0,226,54.98914884043975,6079.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,310,0.0996721701376494,91842.0,222,49.969647154743654,5348.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
